Hyper-Dash PRO,,,,
Template sheet: RPM is prefilled every 100rpm from the official range. Enter torque/current/voltage by graph reading or measurement as needed.,,,,
,,,,
ItemNo,15375,,,
ShaftType,double,,,
Official Voltage Range (V),2.4 - 3.0,,,
Official RPM Range,17200 - 21200,,,
Official Torque Range @ rec. load (mN·m),1.4 - 1.9,,,
Official Current Range (A),1.6 - 3.0,,,
Notes,,,,
Source,https://www.tamiya.com/cms/english/mini4wd/setupguide/motorguide.pdf,,,
,,,,
RPM,Torque_mNm,Current_A,Voltage_V,Note
17200,,,,
17300,,,,
17400,,,,
17500,,,,
17600,,,,
17700,,,,
17800,,,,
17900,,,,
18000,,,,
18100,,,,
18200,,,,
18300,,,,
18400,,,,
18500,,,,
18600,,,,
18700,,,,
18800,,,,
18900,,,,
19000,,,,
19100,,,,
19200,,,,
19300,,,,
19400,,,,
19500,,,,
19600,,,,
19700,,,,
19800,,,,
19900,,,,
20000,,,,
20100,,,,
20200,,,,
20300,,,,
20400,,,,
20500,,,,
20600,,,,
20700,,,,
20800,,,,
20900,,,,
21000,,,,
21100,,,,
21200,,,,
