Rev-Tuned 2,,,,
Template sheet: RPM is prefilled every 100rpm from the official range. Enter torque/current/voltage by graph reading or measurement as needed.,,,,
,,,,
ItemNo,15485,,,
ShaftType,single,,,
Official Voltage Range (V),2.4 - 3.0,,,
Official RPM Range,13400 - 15200,,,
Official Torque Range @ rec. load (mN·m),1.2 - 1.5,,,
Official Current Range (A),1.6 - 2.0,,,
Notes,,,,
Source,https://www.tamiya.com/cms/english/mini4wd/setupguide/motorguide.pdf,,,
,,,,
RPM,Torque_mNm,Current_A,Voltage_V,Note
13400,,,,
13500,,,,
13600,,,,
13700,,,,
13800,,,,
13900,,,,
14000,,,,
14100,,,,
14200,,,,
14300,,,,
14400,,,,
14500,,,,
14600,,,,
14700,,,,
14800,,,,
14900,,,,
15000,,,,
15100,,,,
15200,,,,
