Ultra-Dash,,,,
Template sheet: RPM is prefilled every 100rpm from the official range. Enter torque/current/voltage by graph reading or measurement as needed.,,,,
,,,,
ItemNo,15307,,,
ShaftType,single,,,
Official Voltage Range (V),2.4 - 3.0,,,
Official RPM Range,20400 - 27500,,,
Official Torque Range @ rec. load (mN·m),1.4 - 1.9,,,
Official Current Range (A),4.0 - 5.0,,,
Notes,not for official Tamiya races in Japan,,,
Source,https://www.tamiya.com/cms/english/mini4wd/setupguide/motorguide.pdf,,,
,,,,
RPM,Torque_mNm,Current_A,Voltage_V,Note
20400,,,,
20500,,,,
20600,,,,
20700,,,,
20800,,,,
20900,,,,
21000,,,,
21100,,,,
21200,,,,
21300,,,,
21400,,,,
21500,,,,
21600,,,,
21700,,,,
21800,,,,
21900,,,,
22000,,,,
22100,,,,
22200,,,,
22300,,,,
22400,,,,
22500,,,,
22600,,,,
22700,,,,
22800,,,,
22900,,,,
23000,,,,
23100,,,,
23200,,,,
23300,,,,
23400,,,,
23500,,,,
23600,,,,
23700,,,,
23800,,,,
23900,,,,
24000,,,,
24100,,,,
24200,,,,
24300,,,,
24400,,,,
24500,,,,
24600,,,,
24700,,,,
24800,,,,
24900,,,,
25000,,,,
25100,,,,
25200,,,,
25300,,,,
25400,,,,
25500,,,,
25600,,,,
25700,,,,
25800,,,,
25900,,,,
26000,,,,
26100,,,,
26200,,,,
26300,,,,
26400,,,,
26500,,,,
26600,,,,
26700,,,,
26800,,,,
26900,,,,
27000,,,,
27100,,,,
27200,,,,
27300,,,,
27400,,,,
27500,,,,
